check,status,evidence,note
source_identity,PENDING,,
statement_verification,PENDING,,Check compact self-contained core statements; retain every necessary hypothesis and qualification. Verify separately supported secondary consequences.
proof_depth,PENDING,,Assess only the argument treatment actually given; a method account is not a full-proof claim.
reader_outcomes,PENDING,,Locate actual reading outcomes and repairs; delete trivial transitions and wordy formula paraphrases. A clear definition-and-theorem introduction needs no narrative padding. Use short sentences and hypothesis lists when clearer.
proof_framework,PENDING,,Required only when III is requested; otherwise omit or use reasoned NOT_APPLICABLE.
decisive_mechanisms,PENDING,,Required only when III is requested; otherwise omit or use reasoned NOT_APPLICABLE.
edition_depth,PENDING,,Read concise independently; locate necessary selection and added understanding in standard. For one edition assess only its own scope; no page ratio or topic-count verdict.
edition_semantic_consistency,PENDING,,Check common statements and surrounding prose; useful repetition is allowed within and across documents. Recalled full statements reuse the same canonical body; labels remain unique.
frontier_status,PENDING,,Required for IV or V within its own scope; a settled scope still needs evidence.
build_requested_documents,PENDING,,
visual_requested_documents,PENDING,,"Inspect every requested output page: rendered notation, theorem and hypothesis-list spacing, recall headings and formula breaks. Record actual scope and repairs; a sample is not an all-page review."
archive_integrity,PENDING,,Reopen the delivered archive and verify actual members and checksums; do not inherit an earlier archive verdict.
